section,question
1,What is Node.js?
1,What is Express.js?
1,What is event loop?
1,What is middleware?
1,What is REST API?
1,What is NPM?
1,What is callback?
1,What is promise?
1,What is async await?
1,What is JWT?

2,What is MongoDB?
2,What is Mongoose?
2,What is indexing?
2,What is aggregation?
2,What is schema?
2,What is NoSQL?
2,What is replication?
2,What is sharding?
2,What is document model?
2,What is BSON?

3,What is authentication?
3,What is authorization?
3,Explain JWT flow
3,What is hashing?
3,What is bcrypt?
3,What is session?
3,What is cookie?
3,Explain OAuth
3,Explain token
3,What is security best practice?

4,What is microservice?
4,What is monolith?
4,Explain Docker
4,What is CI CD?
4,What is load balancing?
4,What is caching?
4,Explain Redis
4,What is API gateway?
4,What is rate limiting?
4,What is reverse proxy?

5,What is scalability?
5,What is horizontal scaling?
5,What is vertical scaling?
5,What is logging?
5,What is monitoring?
5,Explain serverless
5,Explain AWS EC2
5,Explain S3
5,What is CDN?
5,Explain deployment
